,close-1,open-1,high-1,low-1,estimated-transaction-volume-usd-1,n-transactions-1,hash-rate-1,difficulty-1,cost-per-transaction-1,Gold price-1,output-volume-0,trade-volume-1,USD-CNY Price-1,SVI-0,Wikiviews-0
2021-02-03,2177.1909000000014,1981.2687809999989,1703.6204769999968,1949.0163600000014,639844649.9856224,-20126.0,-2070286.69622612,0.0,8.843446467388915,-13.5,2065145.657322564,43074336.32280016,0.00280000000000058,18.57471264367816,8228
2021-02-04,-696.4384409999984,2176.8312189999997,1033.2716990000044,805.2900000000009,1283268526.7063847,23363.0,10351433.4811306,0.0,5.6929611122971835,10.200000000000045,2181219.346210263,105390863.60669982,0.01359999999999939,18.57471264367816,8782
2021-02-05,1314.9384409999984,-696.7720300000001,-396.66230899999937,418.2900000000009,-111244189.59401608,-7247.0,9316290.13301748,0.0,5.751164264085716,49.0,1959874.22075536,128783101.00769985,-0.00509999999999966,18.57471264367816,7919
2021-02-06,971.5999999999985,1324.6631639999978,2654.9198780000006,1629.5199999999968,-1580136493.0186996,-26655.0,-5917960.327949345,560919889563.5312,8.268979471188914,265.9165532879815,2156848.977352035,-368706113.35219985,0.2635098525989168,18.57471264367816,7432
2021-02-07,-405.59999999999854,962.2088660000009,-1284.8640960000048,-844.3163350000032,-1062131288.2735171,-47522.0,-2801767.4996007085,49944921673.46875,10.146634453327493,0.0,2048377.4921070563,350865581.9882,0.0,58.0,7075
2021-02-08,7562.377990000001,-397.64799800000037,6978.714351000002,658.8163350000032,4848492765.70713,48859.0,6393057.615521401,0.0,-2.7165346511840482,-259.9165532879815,2263658.8845361243,-307724183.12820005,-0.28550985259891704,18.57471264367816,21699
2021-02-09,88.12200999999914,7552.982237000004,1511.0,6980.699999999997,2470510369.9544725,24914.0,-20244682.44915113,0.0,0.0905436502960697,-13.100000000000136,3400460.2445700103,1341072886.6590002,-0.009999999999999787,18.57471264367816,26642
2021-02-10,-1657.0,77.29576100000122,-860.1999999999971,-1294.219999999994,-3528982009.1399403,-19379.0,0.0,0.0,1.7817625756833024,-21.299999999999955,2162722.149084005,-569902746.5808,0.02320000000000011,18.57471264367816,18295
2021-02-11,3135.261559999999,-1657.2300000000032,1342.739999999998,288.61999999999534,-972187311.1917439,-36019.0,-14917134.436216682,0.0,9.603695489408977,0.599999999999909,2381722.558182397,-423741828.73380005,-0.0034000000000000696,18.57471264367816,15831
2021-02-12,-572.5557939999999,3147.4164450000026,225.08142199999565,2240.6031860000003,1477973035.0292463,38567.0,13851624.833629727,0.0,0.4878067614805275,0.8000000000001819,2143548.811255575,135353275.35180008,0.2757098525989168,18.57471264367816,14014
2021-02-13,-217.1884979999959,-574.5094400000016,-712.3414219999977,9.296814000001177,-4134669449.3514094,-6682.0,15982644.038803577,0.0,4.90363905388358,292.9165532879815,1524496.4088809204,-300579841.73520005,0.0,18.57471264367816,10273
2021-02-14,1457.8261119999952,-213.3764450000017,1504.520000000004,815.0999999999985,-574478687.4623241,-38370.0,-8524076.820695251,0.0,11.156484315248633,-279.4165532879815,1989965.473886068,-279504221.2338,0.0,56.0,9975
2021-02-15,-730.7733799999987,1455.0255670000042,-673.3000000000029,-1212.6992360000004,1926310918.0876107,10242.0,2131019.20517385,0.0,-3.2735074295019047,-2.7000000000000455,2271037.822858814,107385781.11469996,0.0,18.57471264367816,12576
2021-02-16,1223.9599999999991,-729.4861270000038,1537.0,1171.2092360000024,1159285865.4903183,-12108.0,-31965288.077607095,0.0,-20.99100116224909,-6.0,2515309.88902975,190821691.7431,0.0,18.57471264367816,16228
2021-02-17,2965.556774000004,1222.4709629999998,2056.2781899999973,1899.5755250000002,1553109512.684514,21278.0,18113663.243977338,0.0,16.92848195122727,13.5,2077696.296202234,190784473.788,0.0,18.57471264367816,17037
2021-02-18,-531.1867740000016,2969.9932689999987,-72.77818999999727,1923.4250329999995,286257242.7706003,-714.0,-1065509.6025868952,0.0,2.2867750333520576,9.599999999999909,2202921.049314571,172300604.5732001,-0.2430098525989166,18.57471264367816,14422
2021-02-19,4347.0054789999995,-533.304231999995,3771.0999999999985,-122.11055800000031,947767092.6809673,24634.0,17206586.649804115,20830904089.398438,9.70680144942557,27.40000000000009,2365992.804745885,-406178827.1292001,-0.03140000000000054,18.57471264367816,15441
2021-02-20,32.82739700000093,4346.4293469999975,1217.7925539999997,3294.411322,-1979866408.5588617,-21111.0,-5514162.114849478,268908034608.60156,12.820307778776964,237.61655328798156,2195460.0205980875,538000013.5000001,0.27440985259891715,18.57471264367816,14615
2021-02-21,1511.4527430000016,-2.1593470000007073,817.8846210000047,1495.6322569999975,844799906.067255,-48830.0,-5399563.016758949,0.0,23.174669392750616,0.0,1784572.2004049867,-465870159.47000015,0.0,62.0,13124
2021-02-22,-3344.5442980000007,1546.185145000003,-789.5871750000006,-8244.818267999995,676005933.4333401,13738.0,-8639300.826814234,0.0,-24.049257256551925,-247.2165532879817,1991241.4059263407,-221609210.26979995,-0.2674098525989166,18.57471264367816,17051
2021-02-23,-5244.660868999999,-3344.144634000004,-3395.350000000006,-2337.320467000005,3586654501.581826,2501.0,-6479475.620110691,0.0,-20.20706344799919,12.5,2173494.9447755693,1410090427.2438002,0.0015000000000000568,18.57471264367816,17289
2021-02-24,833.657223999995,-5245.405340999998,-2759.699999999997,2049.065156000004,-2978650223.7936745,70208.0,34557203.307257056,0.0,-0.8256282981019183,-6.199999999999818,2121419.752623374,200061160.74709988,-0.008400000000000851,18.57471264367816,14381
2021-02-25,-2657.955347999996,834.3864879999965,658.8300000000017,-293.97000000000116,-1039523322.1939497,-31976.0,-3239737.8100553155,0.0,9.646004288811326,-7.5,2313430.172708256,-1067231844.8934999,-0.0014999999999991687,18.57471264367816,12627
